"Query","E-bill Pre-enrollment Part 1","E-bill Pre-enrollment Part 2","E-bill Pre-enrollment Part 3","E-Bill TEMP T&C1","E-Billing T&C 1","E-Billing T&C 2","MOVE - Move In"
"6404426559348876163","","","","","","","1"
"6404744691804355940","1","1","1","","","","1"
"6404744790588603953","1","1","1","","","","1"
"6404744846431566758","1","1","1","","","","1"
"6404745061179932330","1","1","","","","","1"
"6404745095531266441","","","","","","","1"
"6404745104129605506","1","1","1","","","","1"
"6404745215798739324","1","1","1","","","","1"
"6404745250217208653","1","1","1","1","","1","1"
"6404745271624926105","1","1","","","","","1"
"6404745301698085634","1","1","1","","","","1"
"6404745310346750967","1","1","1","","","","1"
"6404745327467889529","1","1","1","1","","1","1"
"6404745580870960913","","","","","","","1"
"6404745585165928227","","","","","","","1"
"6404745615289429723","1","1","1","","","","1"
"6404745714014947530","1","1","1","","","","1"
"6404745735481395655","1","1","1","","","","1"
"6404745748374686038","1","1","","","","","1"
"6404745937353247711","1","1","1","","","","1"
"6404745967476748865","1","1","1","1","1","1","1"
"6404746040432463123","1","1","1","1","","1","1"
"6404746203641220870","1","1","1","","","","1"
"6404746212231155481","1","1","","","","","1"
"6404746418389586237","","","","","","","1"
"6404746491404030455","1","1","1","","","","1"
"6404747011095074561","1","1","","","","","1"
"6404747131354159151","1","1","1","","","","1"
"6404747496426380250","","","","","","","1"
"6404747517892828474","1","1","1","1","","1","1"
"6404747522196184124","1","1","","","","","1"
"6404747543671020666","1","1","1","","","","1"
"6404747741239516806","1","1","1","","","","1"
"6404747762714353342","1","1","1","1","","1","1"
"6404747801369059128","","","","","","","1"
"6404747960282849473","1","1","1","1","","1","1"
"6404748028993937934","","","","","","","1"
"6404748321118814736","","1","","","","","1"
"6404748806391408842","1","1","","","","","1"
"6404748935299138950","1","","","","","","1"
"6404749089850862622","","","","","","","1"
"6404749317492518494","","","","","","","1"
"6404749377680771218","1","1","","","","","1"
"6404749609609005614","1","1","1","","","","1"
"6404749777054020485","","","","","","","1"
"6404749815767436168","1","1","","1","","1","1"
"6404749824290271861","","1","","","","","1"
"6404749837183562805","1","1","1","","","","1"
"6404749910198007087","1","1","1","1","","1","1"
"6404749966032582158","1","1","1","","","","1"
"6404750112120180001","1","1","1","","","","1"
"6404750193665849601","","","","","","","1"
"6404750206609460621","1","1","1","","","","1"
"6404750305334999711","","1","","","","","1"
"6404750545853169199","","","","","","","1"
"6404750580212907707","1","1","1","1","","1","1"
"6404750773486420272","","","","","","","1"
"6404750807837785246","1","1","1","1","","1","1"
"6404750825026027987","","","","","","","1"
"6404750992529753173","1","1","1","","","","1"
"6404751293236188302","1","1","","","","","1"
"6404751817155086055","1","1","1","1","","1","1"
"6404751993248745645","1","1","1","1","","1","1"
"6404752173645762937","1","1","1","","","","1"
"6404752251013896717","1","1","1","1","","1","1"
"6404752366978013959","1","1","","","","","1"
"6404752525833082333","1","1","1","","","","1"
"6404752534414626419","","","","","","","1"
"6404752633198874551","","","","","","","1"
"6404752659035790614","","1","","","","","1"
"6404752813595892056","1","1","1","","","","1"
"6404752878012011010","1","","1","","","","1"
"6404753024049290221","1","1","","","","","1"
"6404753157184885941","1","1","1","","","","1"
"6404753286033905179","1","1","","","","","1"
"6404753350525526619","1","1","1","","","","1"
"6404753565206780128","1","1","1","","","","1"
"6404753599574909609","1","1","1","","","","1"
"6404753706940701251","","","","","","","1"
"6404754321129417384","","","","","","","1"
"6404754398438828975","","","","","","","1"
"6404754445742188902","1","1","1","1","1","1","1"
"6404754591771077286","1","1","1","1","1","1","1"
"6404754896655036506","1","1","","","","","1"
"6404755098510108841","1","","","","","",""
"6404755197361467311","1","1","1","1","","1","1"
"6404755253137323051","","","","","","","1"
"6404755278907126858","1","1","1","","","","1"
"6404755364806473059","1","1","1","","","","1"
"6404755497950459632","1","1","1","","","","1"
"6404755931733766448","1","1","1","","","","1"
"6404756189440196138","1","1","","1","","1","1"
"6404756352707672184","1","1","1","","","","1"
"6404756764965798896","","","","","","","1"
